ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
D33207,"-22,90246","-43,56223",1780399285000,26,822,1780399297000,1780399302000,2026-06-02 09:21:55
D33318,"-22,85487","-43,39731",1780399287000,39,764,1780399297000,1780399302000,2026-06-02 09:21:55
D33307,"-22,87964","-43,46424",1780399287000,24,741,1780399297000,1780399302000,2026-06-02 09:21:55
D33172,"-22,87953","-43,45609",1780399288000,22,746,1780399297000,1780399302000,2026-06-02 09:21:55
D33177,"-22,88611","-43,61785",1780399287000,33,756,1780399297000,1780399302000,2026-06-02 09:21:55
D33097,"-22,88024","-43,46645",1780399288000,0,812,1780399297000,1780399302000,2026-06-02 09:21:55
D33190,"-22,89974","-43,56231",1780399285000,19,798,1780399297000,1780399302000,2026-06-02 09:21:55
D33332,"-22,86994","-43,41077",1780399287000,26,926,1780399297000,1780399302000,2026-06-02 09:21:55
D33100,"-22,8972","-43,61285",1780399288000,46,756,1780399297000,1780399302000,2026-06-02 09:21:55
D33360,"-22,88249","-43,33694",1780399287000,0,SV391,1780399297000,1780399302000,2026-06-02 09:21:55
D33155,"-22,98463","-43,69644",1780399288000,37,757,1780399297000,1780399302000,2026-06-02 09:21:55
D33073,"-22,87988","-43,54138",1780399288000,34,SV790,1780399297000,1780399302000,2026-06-02 09:21:55
D33059,"-22,88184","-43,32973",1780399287000,0,794,1780399297000,1780399302000,2026-06-02 09:21:55
D33085,"-22,91972","-43,64227",1780399287000,44,756,1780399297000,1780399302000,2026-06-02 09:21:55
D33169,"-22,84961","-43,38395",1780399288000,12,757,1780399297000,1780399302000,2026-06-02 09:21:55
D33202,"-22,89581","-43,57807",1780399288000,5,842,1780399297000,1780399302000,2026-06-02 09:21:55
D33098,"-22,83401","-43,34127",1780399289000,26,757,1780399297000,1780399302000,2026-06-02 09:21:55
D33113,"-22,85373","-43,38383",1780399289000,1,765,1780399297000,1780399302000,2026-06-02 09:21:55
D33245,"-22,89429","-43,56014",1780399288000,11,790,1780399297000,1780399302000,2026-06-02 09:21:55
D33112,"-22,89208","-43,58786",1780399289000,23,804,1780399297000,1780399302000,2026-06-02 09:21:55
D33213,"-22,91265","-43,59425",1780399287000,16,841,1780399297000,1780399302000,2026-06-02 09:21:55
D33114,"-22,8441","-43,512",1780399286000,27,812,1780399297000,1780399302000,2026-06-02 09:21:55
D33369,"-22,88218","-43,32894",1780399289000,13,746,1780399297000,1780399302000,2026-06-02 09:21:55
D33263,"-22,87517","-43,4626",1780399289000,0,926,1780399297000,1780399302000,2026-06-02 09:21:55
D33232,"-22,87409","-43,55336",1780399287000,11,796,1780399297000,1780399302000,2026-06-02 09:21:55
D33036,"-22,88594","-43,39682",1780399288000,47,745,1780399297000,1780399302000,2026-06-02 09:21:55
D33095,"-22,92293","-43,67425",1780399287000,51,756,1780399297000,1780399302000,2026-06-02 09:21:55
D33076,"-22,88396","-43,49472",1780399289000,0,ESPECIAL,1780399297000,1780399302000,2026-06-02 09:21:55
D33068,"-22,84222","-43,37299",1780399289000,23,790,1780399297000,1780399302000,2026-06-02 09:21:55
D33069,"-22,85581","-43,45517",1780399289000,7,764,1780399297000,1780399302000,2026-06-02 09:21:55
D33342,"-22,88165","-43,33",1780399289000,0,746,1780399297000,1780399302000,2026-06-02 09:21:55
D33106,"-22,83401","-43,34132",1780399289000,29,756,1780399297000,1780399302000,2026-06-02 09:21:55
D33193,"-22,87852","-43,46889",1780399289000,0,794,1780399297000,1780399302000,2026-06-02 09:21:55
D33115,"-22,88117","-43,3297",1780399290000,0,737,1780399297000,1780399302000,2026-06-02 09:21:55
D33334,"-22,89131","-43,32495",1780399291000,6,383,1780399297000,1780399302000,2026-06-02 09:21:55
D33131,"-22,87074","-43,4638",1780399290000,29,731,1780399297000,1780399302000,2026-06-02 09:21:55
D33213,"-22,91263","-43,59434",1780399289000,16,841,1780399297000,1780399302000,2026-06-02 09:21:55
D33086,"-22,83437","-43,36011",1780399290000,0,756,1780399297000,1780399302000,2026-06-02 09:21:55
D33333,"-22,91342","-43,22741",1780399291000,7,SV391,1780399297000,1780399302000,2026-06-02 09:21:55
D33354,"-22,91014","-43,20523",1780399291000,16,383,1780399297000,1780399302000,2026-06-02 09:21:55
D33088,"-22,85972","-43,53394",1780399291000,0,812,1780399297000,1780399302000,2026-06-02 09:21:55
D33336,"-22,89227","-43,41929",1780399290000,21,383,1780399297000,1780399302000,2026-06-02 09:21:55
D33330,"-22,88298","-43,34231",1780399290000,25,383,1780399297000,1780399302000,2026-06-02 09:21:55
D33291,"-22,88426","-43,49502",1780399291000,0,ESPECIAL,1780399297000,1780399302000,2026-06-02 09:21:55
