ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
B11643,-22.87767,-43.32507,2026-06-02 08:49:42-03:00,0,908,2026-06-02 08:49:52-03:00,2026-06-02 08:50:05-03:00,2026-06-02 09:21:55,2026-06-02,8,49,Tuesday,10.0,13.0
B71024,-22.9029,-43.24845,2026-06-02 09:16:30-03:00,20,239,2026-06-02 09:16:40-03:00,2026-06-02 09:16:47-03:00,2026-06-02 09:21:55,2026-06-02,9,16,Tuesday,10.0,7.0
C30105,-23.00801,-43.30396,2026-06-02 08:57:00-03:00,38,565,2026-06-02 08:58:02-03:00,2026-06-02 08:58:37-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,62.0,35.0
B28725,-22.8507,-43.24758,2026-06-02 08:46:22-03:00,4,2344,2026-06-02 08:46:31-03:00,2026-06-02 08:46:43-03:00,2026-06-02 09:21:55,2026-06-02,8,46,Tuesday,9.0,12.0
B25531,-22.91653,-43.23913,2026-06-02 09:17:10-03:00,3,232,2026-06-02 09:17:15-03:00,2026-06-02 09:17:18-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,5.0,3.0
D86193,-22.90386,-43.56363,2026-06-02 08:38:18-03:00,14,836,2026-06-02 08:38:21-03:00,2026-06-02 08:38:36-03:00,2026-06-02 09:21:55,2026-06-02,8,38,Tuesday,3.0,15.0
D86016,-22.87933,-43.50485,2026-06-02 08:25:48-03:00,0,SP864,2026-06-02 08:25:55-03:00,2026-06-02 08:26:14-03:00,2026-06-02 09:21:55,2026-06-02,8,25,Tuesday,7.0,19.0
D33202,-22.90291,-43.5646,2026-06-02 09:04:56-03:00,17,842,2026-06-02 09:05:06-03:00,2026-06-02 09:05:33-03:00,2026-06-02 09:21:55,2026-06-02,9,4,Tuesday,10.0,27.0
B31055,-22.96509,-43.18037,2026-06-02 08:30:50-03:00,18,SPB483,2026-06-02 08:30:59-03:00,2026-06-02 08:31:17-03:00,2026-06-02 09:21:55,2026-06-02,8,30,Tuesday,9.0,18.0
A50125,-23.01006,-43.36601,2026-06-02 08:49:26-03:00,47,302,2026-06-02 08:49:35-03:00,2026-06-02 08:49:44-03:00,2026-06-02 09:21:55,2026-06-02,8,49,Tuesday,9.0,9.0
